id,name,glottocode,year,map_name_full,sources
656,Comanche,coma1245,1750,,asher_moseley_2007 titus
657,Kiowa,kiow1266,1750,,titus
658,Pawnee,pawn1254,1750,,titus
659,Iroquian,iroq1247,1750,,titus
660,Alsea,alse1251,1750,,asher_moseley_2007 titus
661,Barbareño,barb1263,1750,,asher_moseley_2007 titus
662,Kathlamet,kath1253,1750,,asher_moseley_2007 titus
663,Central Kalapuyan,kala1400,1750,,asher_moseley_2007 titus
664,Chimakum,chim1310,1750,,asher_moseley_2007 titus
665,Klallam,clal1241,1750,,asher_moseley_2007 titus
666,Cowlitz,cowl1242,1750,,asher_moseley_2007 titus
667,Hanis,coos1249,1750,,asher_moseley_2007 titus
668,Hupa,hupa1239,1750,,asher_moseley_2007 titus
669,Ineseño,ines1240,1750,,asher_moseley_2007 titus
670,Cruzeño,cruz1243,1750,,asher_moseley_2007 titus
671,Kato,kato1244,1750,,asher_moseley_2007 titus
672,Upper Chinook,wasc1239,1750,,asher_moseley_2007 titus
673,Lower Chehalis,lowe1427,1750,,asher_moseley_2007 titus
674,Lower Chinook,chin1286,1750,,asher_moseley_2007 titus
675,Mahican,mahi1248,1750,,asher_moseley_2007 titus
676,Makah,maka1318,1750,,asher_moseley_2007 titus
677,Mattole,matt1238,1750,,asher_moseley_2007 titus
678,Miluk,milu1241,1750,,asher_moseley_2007 titus
679,Munsee,muns1251,1750,,asher_moseley_2007 titus
680,Nanticoke,nant1249,1750,,asher_moseley_2007 titus
681,Ditidaht,diti1235,1750,,asher_moseley_2007 titus
682,Obispeño,obis1242,1750,,asher_moseley_2007 titus
683,Potawatomi,pota1247,1750,,asher_moseley_2007 titus
684,Purisimeño,puri1259,1750,,asher_moseley_2007 titus
685,Quileute,quil1240,1750,,asher_moseley_2007 titus
686,Quinault,quin1251,1750,,asher_moseley_2007 titus
687,Siuslaw,sius1254,1750,,asher_moseley_2007 titus
688,Tillamook,till1254,1750,,asher_moseley_2007 titus
689,Tolowa-Chetco,tolo1259,1750,,asher_moseley_2007 titus
690,Tualatin-Yamhill,tual1242,1750,,asher_moseley_2007 titus
691,Tututni,tutu1242,1750,,asher_moseley_2007 titus
692,Twana (Skokomish),twan1247,1750,,asher_moseley_2007 titus
693,Unami,unam1242,1750,,titus
694,Upper Chehalis,uppe1439,1750,,asher_moseley_2007 titus
695,Upper Umpqua,uppe1436,1750,,asher_moseley_2007 titus
696,Wailaki,wail1244,1750,,asher_moseley_2007 titus
