ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,,,,,,,carling2025diacl,,map,
265,Indus Kohistani,,,,indu1241,1750,carling2025diacl;titus,features,feature,map_1
266,Khandesi,,,,khan1272,1750,carling2025diacl;titus,features,feature,map_1
267,Kullu Pahari,,,,kull1236,1750,carling2025diacl;titus,features,feature,map_1
268,Magahi,,,,maga1260,1750,carling2025diacl;titus,features,feature,map_1
269,Ormuri,,,,ormu1247,1750,carling2025diacl;titus,features,feature,map_1
270,Sarikoli,,,,sari1246,1750,carling2025diacl;titus,features,feature,map_1
271,Shina,,,,shin1264,1750,carling2025diacl;titus,features,feature,map_1
272,Jukun Takum,,,,juku1254,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
273,Kpan,,,,kpan1246,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
274,Tigon Mbembe,,,,tigo1236,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
275,Izon,,,,izon1238,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
276,Efik,,,,efik1245,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
277,Ibibio,,,,ibib1240,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
278,Obolo,,,,obol1243,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
279,Godié,,,,godi1239,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
280,Bini,,,,bini1246,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
281,Ejagham,,,,ejag1239,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
282,Kalabari,,,,kala1381,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
283,Idoma,,,,idom1241,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
284,Igbo,,,,nucl1417,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
285,Ewe,,,,ewee1241,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
286,Fon,,,,fonn1241,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
287,Vute,,,,vute1244,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
288,Bambara,,,,bamb1269,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
289,Bandi,,,,band1352,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
290,Bissa,,,,biss1248,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
291,Busa,,,,busa1253,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
292,Dyula,,,,dyul1238,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
293,Liberia Kpelle,,,,libe1247,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
294,Loma,,,,loma1260,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
295,Mandinka,,,,mand1436,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
296,Mende,,,,mend1266,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
297,Sankaran Maninka,,,,sank1253,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
298,Southern Bobo Madaré,,,,sout2840,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
299,Susu,,,,susu1250,1750,carling2025diacl;titus,features,feature,map_1
300,Vai,,,,vaii1241,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
301,Yalunka,,,,yalu1240,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
302,Oroko,,,,orok1266,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
303,Tuki,,,,tuki1240,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
304,Tunen,,,,tune1261,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
305,Mongo,,,,mong1338,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
306,Kamba (Kenya),,,,kamb1297,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
307,Meru,,,,meru1245,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
308,Langi,,,,lang1320,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
309,Mbugwe,,,,mbug1242,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
310,Nyamwezi,,,,nyam1276,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
311,Nyaturu,,,,nyat1246,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
312,Bena (Tanzania),,,,bena1262,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
313,Bondei,,,,bond1247,1750,carling2025diacl;titus,features,feature,map_1
314,Gogo,,,,gogo1263,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
315,Kami (Tanzania),,,,kami1256,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
316,Shambala,,,,sham1280,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
317,Swahili,,,,swah1253,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
318,Kikongo,,,,koon1244,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
319,Ganda,,,,gand1255,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
320,Haya,,,,haya1250,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
321,Kinyarwanda,,,,kiny1244,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
322,Konzo,,,,konz1239,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
323,Nyoro,,,,nyor1246,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
324,Zinza,,,,zinz1238,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
325,Fwe,,,,fwee1238,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
326,Luchazi,,,,luch1239,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
327,Lunda,,,,lund1266,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
